"_id","totalProfit","totalRevenue","totalExpenses","monthlyData__month","monthlyData__revenue","monthlyData__expenses","monthlyData__operationalExpenses","monthlyData__nonOperationalExpenses","dailyData__date","dailyData__revenue","dailyData__expenses","expensesByCategory__salaries","expensesByCategory__supplies","expensesByCategory__services"
"","","","","","","","","","2022-06-21","$1429.32","$348.96","","",""
"","","","","","","","","","2022-06-22","$1304.03","$597.34","","",""
"","","","","","","","","","2022-06-23","$1089.02","$576.66","","",""
"","","","","","","","","","2022-06-24","$740.89","$616.74","","",""
"","","","","","","","","","2022-06-25","$1066.17","$656.03","","",""
"","","","","","","","","","2022-06-26","$1385.65","$719.00","","",""
"","","","","","","","","","2022-06-27","$1498.16","$571.97","","",""
"","","","","","","","","","2022-06-28","$579.61","$410.93","","",""
"","","","","","","","","","2022-06-29","$624.32","$526.26","","",""
"","","","","","","","","","2022-06-30","$798.71","$736.02","","",""
"","","","","","","","","","2022-07-01","$977.14","$660.07","","",""
"","","","","","","","","","2022-07-02","$1257.50","$682.12","","",""
"","","","","","","","","","2022-07-03","$598.53","$421.27","","",""
"","","","","","","","","","2022-07-04","$1178.54","$750.49","","",""
"","","","","","","","","","2022-07-05","$652.35","$613.77","","",""
"","","","","","","","","","2022-07-06","$926.22","$693.88","","",""
"","","","","","","","","","2022-07-07","$1303.57","$683.27","","",""
"","","","","","","","","","2022-07-08","$538.83","$703.28","","",""
"","","","","","","","","","2022-07-09","$805.46","$511.35","","",""
"","","","","","","","","","2022-07-10","$614.23","$607.68","","",""
"","","","","","","","","","2022-07-11","$986.25","$590.38","","",""
"","","","","","","","","","2022-07-12","$1035.61","$496.20","","",""
"","","","","","","","","","2022-07-13","$510.87","$310.95","","",""
"","","","","","","","","","2022-07-14","$1375.38","$766.17","","",""
"","","","","","","","","","2022-07-15","$1298.54","$726.07","","",""
"","","","","","","","","","2022-07-16","$858.92","$302.26","","",""
"","","","","","","","","","2022-07-17","$520.66","$611.26","","",""
"","","","","","","","","","2022-07-18","$794.83","$307.78","","",""
"","","","","","","","","","2022-07-19","$1328.66","$439.09","","",""
"","","","","","","","","","2022-07-20","$1314.81","$350.62","","",""
"","","","","","","","","","2022-07-21","$1281.19","$343.02","","",""
"","","","","","","","","","2022-07-22","$569.59","$689.64","","",""
"","","","","","","","","","2022-07-23","$951.97","$638.80","","",""
"","","","","","","","","","2022-07-24","$1323.68","$454.90","","",""
"","","","","","","","","","2022-07-25","$852.04","$645.14","","",""
"","","","","","","","","","2022-07-26","$1323.45","$763.45","","",""
"","","","","","","","","","2022-07-27","$1091.68","$576.46","","",""
"","","","","","","","","","2022-07-28","$805.31","$534.42","","",""
"","","","","","","","","","2022-07-29","$858.09","$547.69","","",""
"","","","","","","","","","2022-07-30","$720.94","$308.57","","",""
"","","","","","","","","","2022-07-31","$854.13","$340.54","","",""
"","","","","","","","","","2022-08-01","$775.98","$493.31","","",""
"","","","","","","","","","2022-08-02","$1194.06","$327.15","","",""
"","","","","","","","","","2022-08-03","$1463.58","$560.15","","",""
"","","","","","","","","","2022-08-04","$846.65","$586.21","","",""
"","","","","","","","","","2022-08-05","$1347.22","$664.95","","",""
"","","","","","","","","","2022-08-06","$643.63","$718.49","","",""
"","","","","","","","","","2022-08-07","$582.72","$339.96","","",""
"","","","","","","","","","2022-08-08","$1360.65","$683.15","","",""
"","","","","","","","","","2022-08-09","$1284.11","$343.74","","",""
"","","","","","","","","","2022-08-10","$1103.50","$614.88","","",""
"","","","","","","","","","2022-08-11","$528.48","$762.16","","",""
"","","","","","","","","","2022-08-12","$979.69","$468.36","","",""
"","","","","","","","","","2022-08-13","$1457.87","$390.97","","",""
"","","","","","","","","","2022-08-14","$1397.29","$761.24","","",""
"","","","","","","","","","2022-08-15","$802.38","$680.88","","",""
"","","","","","","","","","2022-08-16","$916.44","$563.35","","",""
"","","","","","","","","","2022-08-17","$525.83","$622.37","","",""
"","","","","","","","","","2022-08-18","$1043.48","$757.84","","",""
"","","","","","","","","","2022-08-19","$689.54","$593.78","","",""
"","","","","","","","","","2022-08-20","$1306.55","$397.12","","",""
"","","","","","","","","","2022-08-21","$1414.61","$380.05","","",""
"","","","","","","","","","2022-08-22","$636.09","$426.99","","",""
"","","","","","","","","","2022-08-23","$1128.52","$341.34","","",""
"","","","","","","","","","2022-08-24","$794.05","$432.00","","",""
"","","","","","","","","","2022-08-25","$936.38","$416.62","","",""
"","","","","","","","","","2022-08-26","$1159.46","$709.27","","",""
"","","","","","","","","","2022-08-27","$1457.79","$498.26","","",""
"","","","","","","","","","2022-08-28","$1376.86","$581.87","","",""
"","","","","","","","","","2022-08-29","$830.11","$423.40","","",""
"","","","","","","","","","2022-08-30","$1431.68","$471.83","","",""
"","","","","","","","","","2022-08-31","$720.17","$719.55","","",""
"","","","","","","","","","2022-09-01","$1158.03","$570.54","","",""
"","","","","","","","","","2022-09-02","$1117.39","$606.89","","",""
"","","","","","","","","","2022-09-03","$1367.28","$767.69","","",""
"","","","","","","","","","2022-09-04","$1152.67","$435.39","","",""
"","","","","","","","","","2022-09-05","$530.15","$449.32","","",""
"","","","","","","","","","2022-09-06","$615.71","$749.52","","",""
"","","","","","","","","","2022-09-07","$1057.53","$336.59","","",""
"","","","","","","","","","2022-09-08","$1130.75","$485.13","","",""
"","","","","","","","","","2022-09-09","$1374.56","$606.54","","",""
"","","","","","","","","","2022-09-10","$1086.33","$474.42","","",""
"","","","","","","","","","2022-09-11","$938.13","$431.59","","",""
"","","","","","","","","","2022-09-12","$815.20","$765.07","","",""
"","","","","","","","","","2022-09-13","$1009.19","$589.63","","",""
"","","","","","","","","","2022-09-14","$1247.00","$476.95","","",""
"","","","","","","","","","2022-09-15","$615.12","$730.85","","",""
"","","","","","","","","","2022-09-16","$1025.87","$517.46","","",""
"","","","","","","","","","2022-09-17","$1012.51","$316.31","","",""
"","","","","","","","","","2022-09-18","$1381.92","$626.52","","",""
"","","","","","","","","","2022-09-19","$817.26","$360.33","","",""
"","","","","","","","","","2022-09-20","$642.00","$728.13","","",""
"","","","","","","","","","2022-09-21","$554.87","$770.02","","",""
"","","","","","","","","","2022-09-22","$1494.84","$569.33","","",""
"","","","","","","","","","2022-09-23","$1254.25","$390.00","","",""
"","","","","","","","","","2022-09-24","$749.93","$473.59","","",""
"","","","","","","","","","2022-09-25","$1329.51","$361.60","","",""
"","","","","","","","","","2022-09-26","$1094.98","$660.94","","",""
"","","","","","","","","","2022-09-27","$1170.18","$420.90","","",""
"","","","","","","","","","2022-09-28","$872.36","$627.82","","",""
"","","","","","","","","","2022-09-29","$990.59","$405.93","","",""
"","","","","","","","","","2022-09-30","$831.62","$382.83","","",""
"","","","","","","","","","2022-10-01","$1284.41","$736.88","","",""
"","","","","","","","","","2022-10-02","$1272.95","$645.85","","",""
"","","","","","","","","","2022-10-03","$1492.35","$583.82","","",""
"","","","","","","","","","2022-10-04","$848.46","$574.83","","",""
"","","","","","","","","","2022-10-05","$599.00","$781.89","","",""
"","","","","","","","","","2022-10-06","$976.82","$713.21","","",""
"","","","","","","","","","2022-10-07","$1252.20","$438.58","","",""
"","","","","","","","","","2022-10-08","$577.48","$658.74","","",""
"","","","","","","","","","2022-10-09","$998.48","$756.13","","",""
"","","","","","","","","","2022-10-10","$822.26","$525.18","","",""
"","","","","","","","","","2022-10-11","$566.85","$497.54","","",""
"","","","","","","","","","2022-10-12","$614.44","$568.29","","",""
"","","","","","","","","","2022-10-13","$912.66","$646.20","","",""
"","","","","","","","","","2022-10-14","$1181.90","$499.01","","",""
"","","","","","","","","","2022-10-15","$687.80","$509.42","","",""
"","","","","","","","","","2022-10-16","$1193.87","$784.02","","",""
"","","","","","","","","","2022-10-17","$673.46","$713.26","","",""
"","","","","","","","","","2022-10-18","$1220.92","$549.16","","",""
"","","","","","","","","","2022-10-19","$748.21","$745.88","","",""
"","","","","","","","","","2022-10-20","$1138.51","$794.99","","",""
"","","","","","","","","","2022-10-21","$785.03","$713.34","","",""
"","","","","","","","","","2022-10-22","$1245.45","$525.21","","",""
"","","","","","","","","","2022-10-23","$1451.62","$542.40","","",""
"","","","","","","","","","2022-10-24","$935.08","$640.45","","",""
"","","","","","","","","","2022-10-25","$812.39","$349.79","","",""
"","","","","","","","","","2022-10-26","$1273.79","$727.45","","",""
"","","","","","","","","","2022-10-27","$1231.44","$633.77","","",""
"","","","","","","","","","2022-10-28","$1203.35","$497.31","","",""
"","","","","","","","","","2022-10-29","$702.78","$332.65","","",""
"","","","","","","","","","2022-10-30","$1053.93","$420.18","","",""
"","","","","","","","","","2022-10-31","$1056.37","$367.50","","",""
"","","","","","","","","","2022-11-01","$1038.36","$347.48","","",""
"","","","","","","","","","2022-11-02","$614.72","$420.23","","",""
"","","","","","","","","","2022-11-03","$664.16","$651.04","","",""
"","","","","","","","","","2022-11-04","$1417.08","$631.56","","",""
"","","","","","","","","","2022-11-05","$557.25","$667.31","","",""
"","","","","","","","","","2022-11-06","$634.14","$459.52","","",""
"","","","","","","","","","2022-11-07","$895.09","$683.38","","",""
"","","","","","","","","","2022-11-08","$1365.47","$320.44","","",""
"","","","","","","","","","2022-11-09","$587.71","$435.66","","",""
"","","","","","","","","","2022-11-10","$1439.46","$511.32","","",""
"","","","","","","","","","2022-11-11","$1318.18","$689.70","","",""
"","","","","","","","","","2022-11-12","$774.94","$602.80","","",""
"","","","","","","","","","2022-11-13","$1345.93","$418.38","","",""
"","","","","","","","","","2022-11-14","$934.12","$694.30","","",""
"","","","","","","","","","2022-11-15","$856.11","$719.66","","",""
"","","","","","","","","","2022-11-16","$834.06","$472.46","","",""
"","","","","","","","","","2022-11-17","$862.35","$576.89","","",""
"","","","","","","","","","2022-11-18","$1098.70","$378.77","","",""
"","","","","","","","","","2022-11-19","$1257.86","$594.74","","",""
"","","","","","","","","","2022-11-20","$1020.98","$696.09","","",""
"","","","","","","","","","2022-11-21","$725.09","$648.75","","",""
"","","","","","","","","","2022-11-22","$738.74","$481.11","","",""
"","","","","","","","","","2022-11-23","$661.41","$726.44","","",""
"","","","","","","","","","2022-11-24","$689.55","$542.89","","",""
"","","","","","","","","","2022-11-25","$1451.71","$754.48","","",""
"","","","","","","","","","2022-11-26","$916.67","$554.41","","",""
"","","","","","","","","","2022-11-27","$1474.95","$583.52","","",""
"","","","","","","","","","2022-11-28","$1438.52","$533.21","","",""
"","","","","","","","","","2022-11-29","$531.00","$452.18","","",""
"","","","","","","","","","2022-11-30","$812.71","$302.62","","",""
"","","","","","","","","","2022-12-01","$772.43","$641.09","","",""
"","","","","","","","","","2022-12-02","$1382.87","$482.25","","",""
"","","","","","","","","","2022-12-03","$573.27","$572.70","","",""
"","","","","","","","","","2022-12-04","$644.09","$476.26","","",""
"","","","","","","","","","2022-12-05","$1338.13","$513.24","","",""
"","","","","","","","","","2022-12-06","$841.11","$390.83","","",""
"","","","","","","","","","2022-12-07","$697.51","$759.51","","",""
"","","","","","","","","","2022-12-08","$627.41","$685.80","","",""
"","","","","","","","","","2022-12-09","$1194.34","$447.89","","",""
"","","","","","","","","","2022-12-10","$891.38","$384.43","","",""
"","","","","","","","","","2022-12-11","$642.22","$346.45","","",""
"","","","","","","","","","2022-12-12","$846.17","$655.70","","",""
"","","","","","","","","","2022-12-13","$1162.43","$788.19","","",""
"","","","","","","","","","2022-12-14","$1419.39","$422.59","","",""
"","","","","","","","","","2022-12-15","$1350.41","$722.04","","",""
"","","","","","","","","","2022-12-16","$568.48","$651.17","","",""
"","","","","","","","","","2022-12-17","$586.94","$364.81","","",""
"","","","","","","","","","2022-12-18","$787.93","$752.41","","",""
"","","","","","","","","","2022-12-19","$751.40","$303.15","","",""
"","","","","","","","","","2022-12-20","$511.29","$319.61","","",""
"","","","","","","","","","2022-12-21","$789.03","$601.99","","",""
"","","","","","","","","","2022-12-22","$578.12","$379.53","","",""
"","","","","","","","","","2022-12-23","$1298.60","$625.81","","",""
"","","","","","","","","","2022-12-24","$1308.95","$708.39","","",""
"","","","","","","","","","2022-12-25","$788.83","$612.17","","",""
"","","","","","","","","","2022-12-26","$1393.26","$354.50","","",""
"","","","","","","","","","2022-12-27","$907.86","$513.74","","",""
"","","","","","","","","","2022-12-28","$1049.91","$583.10","","",""
"","","","","","","","","","2022-12-29","$1110.05","$387.96","","",""
"","","","","","","","","","2022-12-30","$1403.44","$527.35","","",""
"","","","","","","","","","2022-12-31","$549.52","$577.92","","",""
"","","","","","","","","","2023-01-01","$832.70","$664.41","","",""
